time,christina,charles,yvonne,jonathan
2013-08-03 18:42:31,2,1,1,0
2013-08-03 18:42:32,2,2,1,2
2013-08-03 18:42:33,1,0,1,2
2013-08-03 18:42:34,1,2,1,2
2013-08-03 18:42:35,1,1,1,2
2013-08-03 18:42:36,2,2,1,2
2013-08-03 18:42:37,2,2,1,2
2013-08-03 18:42:38,2,2,1,2
2013-08-03 18:42:39,2,2,1,2
2013-08-03 18:42:40,2,2,1,2
2013-08-03 18:42:41,2,2,1,2
2013-08-03 18:42:42,2,2,1,2
2013-08-03 18:42:43,2,2,1,2
2013-08-03 18:42:44,2,2,1,2
2013-08-03 18:42:45,2,0,1,2
2013-08-03 18:42:46,2,4,1,2
2013-08-03 18:42:47,2,6,1,2
2013-08-03 18:42:48,2,6,1,2
2013-08-03 18:42:49,2,6,1,2
2013-08-03 18:42:50,1,6,1,2
2013-08-03 18:42:51,1,6,1,2
2013-08-03 18:42:52,3,6,1,2
2013-08-03 18:42:53,6,6,1,2
2013-08-03 18:42:54,6,6,1,2
2013-08-03 18:42:55,6,6,1,2
2013-08-03 18:42:56,6,6,1,2
2013-08-03 18:42:57,4,6,1,2
2013-08-03 18:42:58,4,4,1,2
2013-08-03 18:42:59,4,4,1,2
2013-08-03 18:43:00,3,6,1,2
2013-08-03 18:43:01,3,6,1,2
2013-08-03 18:43:02,2,6,1,2
2013-08-03 18:43:03,2,6,1,1
2013-08-03 18:43:04,2,6,1,1
2013-08-03 18:43:05,0,6,1,2
2013-08-03 18:43:06,0,6,1,2
2013-08-03 18:43:07,0,4,1,2
2013-08-03 18:43:08,0,6,1,2
2013-08-03 18:43:09,0,6,1,2
2013-08-03 18:43:10,0,8,1,2
2013-08-03 18:43:11,0,8,1,2
2013-08-03 18:43:12,0,8,1,2
2013-08-03 18:43:13,0,8,1,2
2013-08-03 18:43:14,0,8,1,2
2013-08-03 18:43:15,0,8,1,2
2013-08-03 18:43:16,0,8,1,2
2013-08-03 18:43:17,0,8,1,2
2013-08-03 18:43:18,0,8,1,2
2013-08-03 18:43:19,0,8,1,2
2013-08-03 18:43:20,0,5,1,2
2013-08-03 18:43:21,0,3,2,2
2013-08-03 18:43:22,0,5,2,2
2013-08-03 18:43:23,0,5,2,2
2013-08-03 18:43:24,0,5,2,2
2013-08-03 18:43:25,0,5,2,2
2013-08-03 18:43:26,1,5,2,2
2013-08-03 18:43:27,1,8,0,2
2013-08-03 18:43:28,1,8,0,2
2013-08-03 18:43:29,1,8,0,2
2013-08-03 18:43:30,1,8,0,2
2013-08-03 18:43:31,1,8,0,2
2013-08-03 18:43:32,1,8,0,2
2013-08-03 18:43:33,1,8,0,2
2013-08-03 18:43:34,1,8,0,2
2013-08-03 18:43:35,1,8,0,2
2013-08-03 18:43:36,2,8,0,2
2013-08-03 18:43:37,0,8,0,2
2013-08-03 18:43:38,0,8,0,2
2013-08-03 18:43:39,0,8,0,2
2013-08-03 18:43:40,0,8,0,2
2013-08-03 18:43:41,0,8,0,2
2013-08-03 18:43:42,0,8,0,2
2013-08-03 18:43:43,0,8,0,2
2013-08-03 18:43:44,0,8,0,2
2013-08-03 18:43:45,0,8,0,2
2013-08-03 18:43:46,0,8,0,2
2013-08-03 18:43:47,0,8,0,2
2013-08-03 18:43:48,0,8,0,2
2013-08-03 18:43:49,0,8,0,1
2013-08-03 18:43:50,0,8,0,1
2013-08-03 18:43:51,0,8,0,2
2013-08-03 18:43:52,0,8,0,1
2013-08-03 18:43:53,0,8,0,2
2013-08-03 18:43:54,0,8,0,2
2013-08-03 18:43:55,0,8,0,2
2013-08-03 18:43:56,0,8,0,2
2013-08-03 18:43:57,0,8,0,2
2013-08-03 18:43:58,0,8,0,2
2013-08-03 18:43:59,0,8,0,2
2013-08-03 18:44:00,0,5,0,2
2013-08-03 18:44:01,0,5,0,2
2013-08-03 18:44:02,0,8,0,2
2013-08-03 18:44:03,0,8,0,2
2013-08-03 18:44:04,0,8,0,2
2013-08-03 18:44:05,0,8,0,2
2013-08-03 18:44:06,0,8,0,2
2013-08-03 18:44:07,0,8,0,0
2013-08-03 18:44:08,0,8,0,0
2013-08-03 18:44:09,0,8,0,0
2013-08-03 18:44:10,0,8,0,0
2013-08-03 18:44:11,0,8,0,2
2013-08-03 18:44:12,0,8,0,2
2013-08-03 18:44:13,0,8,0,2
2013-08-03 18:44:14,4,8,0,2
2013-08-03 18:44:15,4,8,0,2
2013-08-03 18:44:16,4,8,0,2
2013-08-03 18:44:17,4,8,0,2
2013-08-03 18:44:18,4,8,0,2
2013-08-03 18:44:19,3,8,0,2
2013-08-03 18:44:20,2,8,0,2
2013-08-03 18:44:21,2,4,2,0
2013-08-03 18:44:22,2,4,2,6
2013-08-03 18:44:23,2,1,7,6
2013-08-03 18:44:24,2,1,7,6
2013-08-03 18:44:25,2,1,7,6
2013-08-03 18:44:26,2,1,7,6
2013-08-03 18:44:27,3,2,7,6
2013-08-03 18:44:28,4,2,6,6
2013-08-03 18:44:29,4,2,6,6
2013-08-03 18:44:30,4,2,6,6
2013-08-03 18:44:31,4,2,6,6
2013-08-03 18:44:32,4,2,6,6
2013-08-03 18:44:33,2,2,6,6
2013-08-03 18:44:34,2,2,6,4
2013-08-03 18:44:35,2,0,6,6
2013-08-03 18:44:36,2,0,6,4
2013-08-03 18:44:37,2,0,6,4
2013-08-03 18:44:38,2,0,6,6
2013-08-03 18:44:39,2,0,6,4
2013-08-03 18:44:40,2,0,6,6
2013-08-03 18:44:41,2,0,6,6
2013-08-03 18:44:42,2,0,6,6
2013-08-03 18:44:43,2,0,6,6
2013-08-03 18:44:44,0,0,6,6
2013-08-03 18:44:45,0,2,6,6
2013-08-03 18:44:46,0,2,6,6
2013-08-03 18:44:47,0,2,6,6
2013-08-03 18:44:48,0,2,6,6
2013-08-03 18:44:49,2,2,6,6
2013-08-03 18:44:50,2,1,6,4
2013-08-03 18:44:51,2,2,4,4
2013-08-03 18:44:52,2,0,4,4
2013-08-03 18:44:53,2,0,4,4
2013-08-03 18:44:54,2,0,4,4
2013-08-03 18:44:55,2,0,4,8
2013-08-03 18:44:56,2,0,4,8
2013-08-03 18:44:57,2,0,4,8
2013-08-03 18:44:58,2,0,4,8
2013-08-03 18:44:59,1,0,4,8
2013-08-03 18:45:00,2,0,4,8
2013-08-03 18:45:01,1,0,4,8
2013-08-03 18:45:02,1,0,4,8
2013-08-03 18:45:03,1,0,4,8
2013-08-03 18:45:04,1,0,4,8
2013-08-03 18:45:05,2,0,4,8
2013-08-03 18:45:06,2,0,4,8
2013-08-03 18:45:07,2,0,4,8
2013-08-03 18:45:08,2,2,4,8
2013-08-03 18:45:09,2,2,4,8
2013-08-03 18:45:10,2,2,6,4
2013-08-03 18:45:11,2,2,6,4
2013-08-03 18:45:12,2,2,6,8
2013-08-03 18:45:13,2,2,6,8
2013-08-03 18:45:14,2,2,6,8
2013-08-03 18:45:15,1,2,6,8
2013-08-03 18:45:16,2,2,4,8
2013-08-03 18:45:17,2,2,4,8
2013-08-03 18:45:18,2,2,4,8
2013-08-03 18:45:19,2,2,7,8
2013-08-03 18:45:20,2,0,7,4
2013-08-03 18:45:21,2,2,4,8
2013-08-03 18:45:22,2,2,4,8
2013-08-03 18:45:23,2,2,4,8
2013-08-03 18:45:24,2,2,4,8
2013-08-03 18:45:25,1,1,4,8
2013-08-03 18:45:26,1,1,4,8
2013-08-03 18:45:27,1,1,4,8
2013-08-03 18:45:28,1,1,4,8
2013-08-03 18:45:29,1,1,4,4
2013-08-03 18:45:30,1,1,4,4
2013-08-03 18:45:31,1,1,4,4
2013-08-03 18:45:32,3,1,4,4
2013-08-03 18:45:33,3,1,4,4
2013-08-03 18:45:34,4,1,7,4
2013-08-03 18:45:35,4,1,7,4
2013-08-03 18:45:36,6,1,7,6
2013-08-03 18:45:37,6,1,7,7
2013-08-03 18:45:38,6,1,7,7
2013-08-03 18:45:39,6,2,7,7
2013-08-03 18:45:40,6,2,7,7
2013-08-03 18:45:41,6,1,7,7
2013-08-03 18:45:42,6,1,7,7
2013-08-03 18:45:43,4,1,7,0
2013-08-03 18:45:44,4,1,7,0
2013-08-03 18:45:45,4,1,7,0
2013-08-03 18:45:46,4,1,4,0
2013-08-03 18:45:47,4,2,4,2
2013-08-03 18:45:48,3,1,4,2
2013-08-03 18:45:49,3,1,4,2
2013-08-03 18:45:50,3,2,4,2
2013-08-03 18:45:51,3,2,4,2
2013-08-03 18:45:52,3,2,4,2
2013-08-03 18:45:53,3,2,4,2
2013-08-03 18:45:54,3,1,4,2
2013-08-03 18:45:55,3,1,4,2
