2013-08-01T22:56:12.039151, touch, charles, 488.0, 460.5, 2.2360680103302
2013-08-01T22:56:12.058904, touch, charles, 488.0, 462.5, 2.0
2013-08-01T22:56:12.072284, touch, charles, 487.5, 465.0, 2.5495097637176514
2013-08-01T22:56:12.088967, touch, charles, 487.0, 467.5, 2.5495097637176514
2013-08-01T22:56:12.107434, touch, charles, 487.0, 470.0, 2.5
2013-08-01T22:56:12.128611, touch, charles, 487.0, 472.0, 2.0
2013-08-01T22:56:12.139376, touch, charles, 486.5, 474.5, 2.5495097637176514
2013-08-01T22:56:12.159144, touch, charles, 486.5, 476.5, 2.0
2013-08-01T22:56:12.178994, touch, charles, 486.5, 479.5, 3.0
2013-08-01T22:56:12.198385, touch, charles, 486.5, 481.5, 2.0
2013-08-01T22:56:12.210232, touch, charles, 486.5, 484.0, 2.5
2013-08-01T22:56:12.223227, touch, charles, 486.5, 485.5, 1.5
2013-08-01T22:56:12.246642, touch, charles, 488.0, 488.0, 2.915475845336914
2013-08-01T22:56:12.257445, touch, charles, 489.0, 490.0, 2.2360680103302
2013-08-01T22:56:12.275983, touch, charles, 490.5, 492.5, 2.915475845336914
2013-08-01T22:56:12.291697, touch, charles, 492.0, 494.5, 2.5
2013-08-01T22:56:12.310185, touch, charles, 495.5, 497.5, 4.609772205352783
2013-08-01T22:56:12.325425, touch, charles, 500.5, 502.5, 7.071067810058594
2013-08-01T22:56:12.337718, touch, charles, 507.0, 506.0, 7.382411479949951
2013-08-01T22:56:12.361300, touch, charles, 513.5, 509.0, 7.158910751342773
2013-08-01T22:56:12.372777, touch, charles, 519.5, 511.0, 6.324555397033691
2013-08-01T22:56:12.395358, touch, charles, 524.5, 512.0, 5.099019527435303
2013-08-01T22:56:12.412770, touch, charles, 529.5, 512.0, 5.0
2013-08-01T22:56:12.430900, touch, charles, 535.0, 512.0, 5.5
2013-08-01T22:56:12.439439, touch, charles, 540.0, 512.0, 5.0
2013-08-01T22:56:12.457471, touch, charles, 545.0, 512.0, 5.0
2013-08-01T22:56:12.478879, touch, charles, 550.0, 511.5, 5.024937629699707
2013-08-01T22:56:12.491735, touch, charles, 554.0, 509.5, 4.4721360206604
2013-08-01T22:56:12.508313, touch, charles, 559.0, 507.5, 5.385164737701416
2013-08-01T22:56:12.525079, touch, charles, 562.5, 504.0, 4.949747562408447
2013-08-01T22:56:12.541872, touch, charles, 566.0, 501.0, 4.609772205352783
2013-08-01T22:56:12.556479, touch, charles, 570.0, 497.5, 5.315073013305664
2013-08-01T22:56:12.573296, touch, charles, 573.0, 494.5, 4.242640495300293
2013-08-01T22:56:12.593820, touch, charles, 575.5, 492.0, 3.535533905029297
2013-08-01T22:56:12.607410, touch, charles, 578.0, 488.0, 4.7169904708862305
