2013-08-02T15:10:50.733151, touch, yvonne, 388.0, 338.5, 6.264982223510742
2013-08-02T15:10:50.749102, touch, yvonne, 394.5, 336.0, 6.964194297790527
2013-08-02T15:10:50.772595, touch, yvonne, 402.5, 334.0, 8.246211051940918
2013-08-02T15:10:50.783532, touch, yvonne, 410.5, 332.5, 8.139410018920898
2013-08-02T15:10:50.799496, touch, yvonne, 420.0, 331.5, 9.552486419677734
2013-08-02T15:10:50.819513, touch, yvonne, 429.0, 331.0, 9.013877868652344
2013-08-02T15:10:50.840865, touch, yvonne, 437.5, 331.0, 8.5
2013-08-02T15:10:50.848783, touch, yvonne, 446.5, 331.0, 9.0
2013-08-02T15:10:50.864906, touch, yvonne, 453.0, 332.5, 6.67083215713501
2013-08-02T15:10:50.889981, touch, yvonne, 457.5, 334.5, 4.924428939819336
2013-08-02T15:10:50.901227, touch, yvonne, 461.0, 339.5, 6.103277683258057
2013-08-02T15:10:50.917690, touch, yvonne, 462.0, 343.5, 4.123105525970459
2013-08-02T15:10:50.935660, touch, yvonne, 462.0, 349.0, 5.5
2013-08-02T15:10:50.956911, touch, yvonne, 462.0, 354.5, 5.5
2013-08-02T15:10:50.965957, touch, yvonne, 460.0, 362.0, 7.762087345123291
2013-08-02T15:10:50.981191, touch, yvonne, 455.0, 371.0, 10.29563045501709
2013-08-02T15:10:51.007247, touch, yvonne, 449.0, 380.5, 11.236102104187012
2013-08-02T15:10:51.019973, touch, yvonne, 439.5, 392.5, 15.305228233337402
2013-08-02T15:10:51.038835, touch, yvonne, 431.5, 404.5, 14.422204971313477
2013-08-02T15:10:51.052583, touch, yvonne, 425.0, 414.5, 11.926860809326172
2013-08-02T15:10:51.072854, touch, yvonne, 419.0, 425.5, 12.529964447021484
2013-08-02T15:10:51.083055, touch, yvonne, 415.0, 433.0, 8.5
2013-08-02T15:10:51.106139, touch, yvonne, 412.5, 441.0, 8.381526947021484
2013-08-02T15:10:51.121334, touch, yvonne, 411.0, 448.5, 7.648529052734375
2013-08-02T15:10:51.140122, touch, yvonne, 410.5, 454.0, 5.522680282592773
2013-08-02T15:10:51.150300, touch, yvonne, 410.5, 459.0, 5.0
2013-08-02T15:10:51.165776, touch, yvonne, 410.5, 463.5, 4.5
2013-08-02T15:10:51.190962, touch, yvonne, 410.5, 468.5, 5.0
2013-08-02T15:10:51.198508, touch, yvonne, 414.0, 473.5, 6.103277683258057
2013-08-02T15:10:51.215233, touch, yvonne, 419.0, 478.0, 6.72681188583374
2013-08-02T15:10:51.239102, touch, yvonne, 425.0, 482.5, 7.5
2013-08-02T15:10:51.257286, touch, yvonne, 432.0, 486.0, 7.82623815536499
2013-08-02T15:10:51.266918, touch, yvonne, 439.5, 489.0, 8.077747344970703
2013-08-02T15:10:51.281164, touch, yvonne, 447.0, 492.0, 8.077747344970703
2013-08-02T15:10:51.302266, touch, yvonne, 455.5, 494.5, 8.86002254486084
2013-08-02T15:10:51.316421, touch, yvonne, 463.5, 496.0, 8.139410018920898
2013-08-02T15:10:51.336101, touch, yvonne, 472.0, 497.5, 8.631338119506836
2013-08-02T15:10:51.355509, touch, yvonne, 479.0, 497.5, 7.0
2013-08-02T15:10:51.375015, touch, yvonne, 486.5, 498.0, 7.516648292541504
2013-08-02T15:10:51.384020, touch, yvonne, 493.5, 498.0, 7.0
2013-08-02T15:10:51.397630, touch, yvonne, 500.5, 498.0, 7.0
2013-08-02T15:10:51.419053, touch, yvonne, 509.0, 497.5, 8.514693260192871
2013-08-02T15:10:51.432604, touch, yvonne, 517.0, 495.0, 8.381526947021484
2013-08-02T15:10:51.449421, touch, yvonne, 526.5, 490.0, 10.735455513000488
2013-08-02T15:10:51.469727, touch, yvonne, 532.5, 485.5, 7.5
2013-08-02T15:10:51.490777, touch, yvonne, 540.0, 478.5, 10.25914192199707
2013-08-02T15:10:51.499271, touch, yvonne, 544.5, 473.0, 7.106335163116455
