2013-08-03T11:47:46.664325, touch, christina, 693.0, 368.5, 4.7434163093566895
2013-08-03T11:47:46.686896, touch, christina, 694.0, 365.0, 3.640054941177368
2013-08-03T11:47:46.700242, touch, christina, 694.0, 362.5, 2.5
2013-08-03T11:47:46.715845, touch, christina, 694.0, 360.5, 2.0
2013-08-03T11:47:46.748201, touch, christina, 694.0, 359.0, 1.5
2013-08-03T11:47:46.750735, touch, christina, 694.0, 358.0, 1.0
2013-08-03T11:47:46.765138, touch, christina, 694.0, 356.5, 1.5
2013-08-03T11:47:46.781696, touch, christina, 692.0, 355.5, 2.2360680103302
2013-08-03T11:47:46.801275, touch, christina, 691.0, 354.5, 1.4142135381698608
2013-08-03T11:47:46.816917, touch, christina, 690.0, 354.0, 1.1180340051651
2013-08-03T11:47:46.838039, touch, christina, 689.0, 354.0, 1.0
2013-08-03T11:47:46.851529, touch, christina, 688.0, 353.5, 1.1180340051651
2013-08-03T11:47:46.871832, touch, christina, 686.5, 353.0, 1.5811388492584229
2013-08-03T11:47:46.882743, touch, christina, 686.0, 352.5, 0.7071067690849304
2013-08-03T11:47:46.896665, touch, christina, 684.5, 352.0, 1.5811388492584229
2013-08-03T11:47:46.919693, touch, christina, 684.0, 351.5, 0.7071067690849304
2013-08-03T11:47:46.933041, touch, christina, 682.0, 351.5, 2.0
2013-08-03T11:47:46.951468, touch, christina, 680.5, 351.5, 1.5
2013-08-03T11:47:46.968650, touch, christina, 679.0, 351.5, 1.5
2013-08-03T11:47:46.988801, touch, christina, 677.0, 351.5, 2.0
2013-08-03T11:47:46.998355, touch, christina, 675.5, 351.5, 1.5
2013-08-03T11:47:47.019796, touch, christina, 673.5, 351.5, 2.0
2013-08-03T11:47:47.034562, touch, christina, 672.0, 351.5, 1.5
2013-08-03T11:47:47.052725, touch, christina, 670.0, 351.5, 2.0
2013-08-03T11:47:47.067486, touch, christina, 669.0, 351.5, 1.0
2013-08-03T11:47:47.081827, touch, christina, 667.5, 352.5, 1.8027756214141846
