19.696493, 10.0.1.5, < (/metatone/online) ( 6769FE40-5F64-455B-82D4-814E26986A99)>
21.837981, 10.0.1.5, < (/metatone/switch) ( 6769FE40-5F64-455B-82D4-814E26986A99, loopingOn, NO)>
28.724992, 10.0.1.6, < (/metatone/online) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
29.140573, 10.0.1.6, < (/metatone/switch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, loopingOn, NO)>
205.500211, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 923, 332.5, 28.79236)>
205.521779, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 947.5, 320, 27.50455)>
205.535747, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 969.5, 307, 25.55387)>
205.551774, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 988.5, 295, 22.4722)>
205.567913, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1005.5, 283, 20.80865)>
205.590795, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1015, 269.5, 16.50757)>
205.602064, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1019.5, 257, 13.28533)>
205.618453, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1021.5, 242.5, 14.63728)>
205.637744, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1021.5, 226, 16.5)>
205.651482, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1021.5, 211.5, 14.5)>
205.669175, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1018.5, 193, 18.74166)>
205.685032, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 1009, 174.5, 20.79663)>
205.707058, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 991, 158.5, 24.08319)>
205.721677, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 973.5, 145.5, 21.80023)>
205.741009, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 959, 137, 16.80774)>
205.772046, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 935.5, 127, 25.53919)>
205.779333, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 905, 114.5, 32.9621)>
205.784181, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 868, 102, 39.05445)>
205.800618, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 826.5, 89, 43.4885)>
205.823179, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 780.5, 77, 47.53946)>
205.835717, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 730, 65, 51.90617)>
205.868050, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 677.5, 55, 53.4439)>
205.870793, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 623.5, 48, 54.45181)>
205.894522, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 568.5, 43, 55.22681)>
205.908467, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 515, 41.5, 53.52102)>
205.916226, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 462, 41.5, 53)>
205.939226, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 409.5, 45.5, 52.65216)>
205.954505, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 359, 54, 51.21035)>
205.968825, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 310.5, 66.5, 50.08493)>
205.987037, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 262.5, 81, 50.1423)>
206.002681, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 214.5, 101, 52)>
