"time","uid","gid","mode","x","y"
82.71093259,1,1,1,0.92919921875,0.299479166667,
82.727462669,1,1,1,0.9287109375,0.300130208333,
82.74317063,1,1,1,0.92822265625,0.300130208333,
82.764255024,1,1,1,0.927734375,0.30078125,
82.777845534,1,1,1,0.92724609375,0.301432291667,
82.793655498,1,1,1,0.9267578125,0.301432291667,
82.81124865,1,1,1,0.92626953125,0.302083333333,
82.82812354,1,1,1,0.92578125,0.302734375,
82.844101233,1,1,1,0.92529296875,0.302734375,
82.862323236,1,1,1,0.92529296875,0.303385416667,
82.880754386,1,1,1,0.92431640625,0.303385416667,
82.893267082,1,1,1,0.923828125,0.304036458333,
82.911316486,1,1,1,0.92333984375,0.304036458333,
82.926939573,1,1,1,0.9228515625,0.304036458333,
82.948369471,1,1,1,0.92236328125,0.3046875,
82.961416066,1,1,1,0.921875,0.3046875,
82.975045773,1,1,1,0.9208984375,0.305338541667,
82.997141102,1,1,1,0.92041015625,0.305338541667,
83.010560843,1,1,1,0.91943359375,0.305989583333,
83.027693227,1,1,1,0.9189453125,0.305989583333,
83.043907447,1,1,1,0.91796875,0.305989583333,
83.064723221,1,1,1,0.91796875,0.306640625,
83.076493911,1,1,1,0.9169921875,0.307291666667,
83.091244631,1,1,1,0.916015625,0.307291666667,
83.111949089,1,1,1,0.91552734375,0.307942708333,
83.126508326,1,1,1,0.91455078125,0.307942708333,
83.143186696,1,1,1,0.91357421875,0.30859375,
83.160680501,1,1,1,0.9130859375,0.30859375,
83.181435076,1,1,1,0.91162109375,0.30859375,
83.193549781,1,1,1,0.9111328125,0.30859375,
83.210129882,1,1,1,0.91015625,0.309244791667,
83.229385656,1,1,1,0.9091796875,0.309244791667,
83.244721331,1,1,1,0.908203125,0.309244791667,
83.261204017,1,1,1,0.9072265625,0.309244791667,
83.276642126,1,1,1,0.90673828125,0.309244791667,
83.297593261,1,1,1,0.90576171875,0.309244791667,
83.310866181,1,1,1,0.9052734375,0.309244791667,
83.32701223,1,1,1,0.904296875,0.309244791667,
83.34571506,1,1,1,0.90380859375,0.309244791667,
83.361354485,1,1,1,0.9033203125,0.309244791667,
83.377134577,1,1,1,0.90234375,0.309244791667,
83.393353781,1,1,1,0.9013671875,0.309244791667,
83.426854255,1,1,1,0.900390625,0.309244791667,
83.443361426,1,1,1,0.8994140625,0.309244791667,
83.463738031,1,1,1,0.89892578125,0.309244791667,
83.476991256,1,1,1,0.8984375,0.309244791667,
83.49317879,1,1,1,0.89794921875,0.309244791667,
83.509564265,1,1,1,0.8974609375,0.309244791667,
83.530516849,1,1,1,0.89697265625,0.30859375,
83.542659054,1,1,1,0.896484375,0.307942708333,
83.560956822,1,1,1,0.89599609375,0.306640625,
83.577400491,1,1,1,0.8955078125,0.305989583333,
83.594129372,1,1,1,0.89501953125,0.305338541667,
83.610682205,1,1,1,0.89453125,0.3046875,
83.62521097,1,1,1,0.89453125,0.303385416667,
83.646766355,1,1,1,0.89404296875,0.302734375,
83.660787455,1,1,1,0.8935546875,0.302734375,
83.676802398,1,1,1,0.89306640625,0.301432291667,
83.693724267,1,1,1,0.892578125,0.300130208333,
83.715076824,1,1,1,0.892578125,0.299479166667,
83.726460268,1,1,1,0.89208984375,0.298177083333,
83.741506167,1,1,1,0.89208984375,0.297526041667,
83.762556491,1,1,1,0.8916015625,0.296223958333,
83.777414474,1,1,1,0.8916015625,0.295572916667,
83.79314925,1,1,1,0.89111328125,0.294270833333,
83.810638255,1,1,1,0.89111328125,0.293619791667,
83.83147248,1,1,1,0.89111328125,0.29296875,
83.842789863,1,1,1,0.89111328125,0.291666666667,
83.86100934,1,1,1,0.89111328125,0.290364583333,
83.87970548,1,1,1,0.89111328125,0.289713541667,
83.892910754,1,1,1,0.89111328125,0.288411458333,
83.911533543,1,1,1,0.89111328125,0.287109375,
83.926506113,1,1,1,0.89111328125,0.285807291667,
83.94785945,1,1,1,0.89111328125,0.284505208333,
83.960728911,1,1,1,0.89111328125,0.283203125,
83.975347536,1,1,1,0.89111328125,0.281901041667,
83.995800452,1,1,1,0.89111328125,0.28125,
84.012603714,1,1,1,0.89111328125,0.280598958333,
84.026215652,1,1,1,0.8916015625,0.279296875,
84.042436034,1,1,1,0.89208984375,0.278645833333,
84.063349347,1,1,1,0.89208984375,0.277994791667,
84.078419289,1,1,1,0.892578125,0.27734375,
84.09313351,1,1,1,0.8935546875,0.276041666667,
84.11156025,1,1,1,0.89404296875,0.274739583333,
84.126868322,1,1,1,0.89453125,0.274739583333,
84.143161078,1,1,1,0.89453125,0.2734375,
84.158610468,1,1,1,0.89501953125,0.271484375,
84.180713385,1,1,1,0.89501953125,0.270833333333,
84.193785951,1,1,1,0.8955078125,0.270182291667,
84.210388184,1,1,1,0.89599609375,0.26953125,
84.22806214,1,1,1,0.896484375,0.268880208333,
84.243839256,1,1,1,0.896484375,0.268229166667,
84.261610934,1,1,1,0.89697265625,0.266927083333,
84.297102053,1,1,1,0.89794921875,0.264973958333,
84.31005575,1,1,1,0.8984375,0.264973958333,
84.326349556,1,1,1,0.89892578125,0.264973958333,
84.3436161,1,1,1,0.8994140625,0.263671875,
84.365463067,1,1,1,0.89990234375,0.263671875,
