time,B7116C0A-A6AE-48E3-AA63-81CFDD936EFA
2014-12-12T12:08:47.455347,0
2014-12-12T12:08:48.504723,0
2014-12-12T12:08:49.555126,0
2014-12-12T12:08:50.605501,0
2014-12-12T12:08:51.662469,0
2014-12-12T12:08:52.717249,0
2014-12-12T12:08:53.773774,0
2014-12-12T12:08:54.833456,0
2014-12-12T12:08:55.885313,0
2014-12-12T12:08:56.941200,0
2014-12-12T12:08:57.997326,0
2014-12-12T12:08:59.047860,0
2014-12-12T12:09:00.131214,3
2014-12-12T12:09:01.217528,3
2014-12-12T12:09:02.309772,4
2014-12-12T12:09:03.407878,3
2014-12-12T12:09:04.488703,3
2014-12-12T12:09:05.595555,3
2014-12-12T12:09:06.702072,3
2014-12-12T12:09:07.797824,3
2014-12-12T12:09:08.906604,3
2014-12-12T12:09:10.012279,3
2014-12-12T12:09:11.114672,3
2014-12-12T12:09:12.229069,3
2014-12-12T12:09:13.332875,3
2014-12-12T12:09:14.423222,3
2014-12-12T12:09:15.519369,4
2014-12-12T12:09:16.609603,4
2014-12-12T12:09:17.708054,4
2014-12-12T12:09:18.795746,4
2014-12-12T12:09:19.883008,4
2014-12-12T12:09:20.965649,4
2014-12-12T12:09:22.059956,4
2014-12-12T12:09:23.169687,3
2014-12-12T12:09:24.267694,3
2014-12-12T12:09:25.368802,2
2014-12-12T12:09:26.510484,3
2014-12-12T12:09:27.604237,3
2014-12-12T12:09:28.703396,3
2014-12-12T12:09:29.786026,3
2014-12-12T12:09:30.883946,2
2014-12-12T12:09:31.995295,3
2014-12-12T12:09:33.101975,3
2014-12-12T12:09:34.187892,3
2014-12-12T12:09:35.280678,3
2014-12-12T12:09:36.367502,3
2014-12-12T12:09:37.460460,3
2014-12-12T12:09:38.548398,3
2014-12-12T12:09:39.653012,3
2014-12-12T12:09:40.750414,3
2014-12-12T12:09:41.863683,4
2014-12-12T12:09:42.981906,4
2014-12-12T12:09:44.080560,4
2014-12-12T12:09:45.178770,4
2014-12-12T12:09:46.273191,4
2014-12-12T12:09:47.376338,4
2014-12-12T12:09:48.481477,4
2014-12-12T12:09:49.582735,4
2014-12-12T12:09:50.683622,4
2014-12-12T12:09:51.769815,4
2014-12-12T12:09:52.860667,4
2014-12-12T12:09:53.944825,3
2014-12-12T12:09:55.035799,4
2014-12-12T12:09:56.134613,8
2014-12-12T12:09:57.230408,1
2014-12-12T12:09:58.323995,0
2014-12-12T12:09:59.417277,0
2014-12-12T12:10:00.511122,3
2014-12-12T12:10:01.596019,2
2014-12-12T12:10:02.684038,2
2014-12-12T12:10:03.753009,0
2014-12-12T12:10:04.802184,0
2014-12-12T12:10:05.857794,0
2014-12-12T12:10:06.917941,0
2014-12-12T12:10:07.970085,0
2014-12-12T12:10:09.027599,0
2014-12-12T12:10:10.079440,0
2014-12-12T12:10:11.139679,0
2014-12-12T12:10:12.190103,0
2014-12-12T12:10:13.243135,0
2014-12-12T12:10:14.295463,0
2014-12-12T12:10:15.353450,0
2014-12-12T12:10:16.417680,0
2014-12-12T12:10:17.473688,0
2014-12-12T12:10:18.529583,0
2014-12-12T12:10:19.619775,0
2014-12-12T12:10:20.732987,0
2014-12-12T12:10:21.835202,5
2014-12-12T12:10:22.942719,5
2014-12-12T12:10:24.049695,5
2014-12-12T12:10:25.166099,0
2014-12-12T12:10:26.272773,0
2014-12-12T12:10:27.378399,7
2014-12-12T12:10:28.479340,7
2014-12-12T12:10:29.578243,7
2014-12-12T12:10:30.688364,0
2014-12-12T12:10:31.801762,0
2014-12-12T12:10:32.906439,6
2014-12-12T12:10:34.026056,6
2014-12-12T12:10:35.130200,0
2014-12-12T12:10:36.237129,0
2014-12-12T12:10:37.355167,7
2014-12-12T12:10:38.474380,7
2014-12-12T12:10:39.596013,7
2014-12-12T12:10:40.711543,0
2014-12-12T12:10:41.815965,0
2014-12-12T12:10:42.924249,7
2014-12-12T12:10:44.034728,7
2014-12-12T12:10:45.140881,0
2014-12-12T12:10:46.247316,4
2014-12-12T12:10:47.361327,6
2014-12-12T12:10:48.483290,7
2014-12-12T12:10:49.615776,7
2014-12-12T12:10:50.710793,0
2014-12-12T12:10:51.802268,2
2014-12-12T12:10:52.915722,4
2014-12-12T12:10:54.033776,4
2014-12-12T12:10:55.145934,0
2014-12-12T12:10:56.257300,4
2014-12-12T12:10:57.367482,7
2014-12-12T12:10:58.478417,7
2014-12-12T12:10:59.582690,7
2014-12-12T12:11:00.691056,4
2014-12-12T12:11:01.793100,4
2014-12-12T12:11:02.886759,7
2014-12-12T12:11:03.983412,7
2014-12-12T12:11:05.100688,0
2014-12-12T12:11:06.227763,4
2014-12-12T12:11:07.360082,7
2014-12-12T12:11:08.474814,7
2014-12-12T12:11:09.582048,7
2014-12-12T12:11:10.687029,4
2014-12-12T12:11:11.797564,4
2014-12-12T12:11:12.906900,4
2014-12-12T12:11:14.012956,4
2014-12-12T12:11:15.120765,0
2014-12-12T12:11:16.235104,0
2014-12-12T12:11:17.349398,7
2014-12-12T12:11:18.467446,7
2014-12-12T12:11:19.553362,7
2014-12-12T12:11:20.636740,7
2014-12-12T12:11:21.733677,0
2014-12-12T12:11:22.829027,0
2014-12-12T12:11:23.902734,0
2014-12-12T12:11:24.960931,0
2014-12-12T12:11:26.020206,0
2014-12-12T12:11:27.072839,0
2014-12-12T12:11:28.128974,0
2014-12-12T12:11:29.184783,0
2014-12-12T12:11:30.233583,0
2014-12-12T12:11:31.286209,0
2014-12-12T12:11:32.342094,0
2014-12-12T12:11:33.391857,0
2014-12-12T12:11:34.445648,0
2014-12-12T12:11:35.503188,0
2014-12-12T12:11:36.555372,0
2014-12-12T12:11:37.604375,0
2014-12-12T12:11:38.658015,0
2014-12-12T12:11:39.748860,3
2014-12-12T12:11:40.857690,2
2014-12-12T12:11:41.980170,1
2014-12-12T12:11:43.097076,1
2014-12-12T12:11:44.185866,1
2014-12-12T12:11:45.281736,2
2014-12-12T12:11:46.386345,2
2014-12-12T12:11:47.493000,1
2014-12-12T12:11:48.590621,1
2014-12-12T12:11:49.702060,1
2014-12-12T12:11:50.814626,2
2014-12-12T12:11:51.927021,1
2014-12-12T12:11:53.024615,1
2014-12-12T12:11:54.126940,1
2014-12-12T12:11:55.218261,2
2014-12-12T12:11:56.320750,1
2014-12-12T12:11:57.427807,1
2014-12-12T12:11:58.544006,8
2014-12-12T12:11:59.648010,8
2014-12-12T12:12:00.754783,1
2014-12-12T12:12:01.873581,1
2014-12-12T12:12:02.987982,8
2014-12-12T12:12:04.094305,8
2014-12-12T12:12:05.203599,2
2014-12-12T12:12:06.313545,1
2014-12-12T12:12:07.420427,1
2014-12-12T12:12:08.527749,1
2014-12-12T12:12:09.632069,8
2014-12-12T12:12:10.738416,2
2014-12-12T12:12:11.844375,1
2014-12-12T12:12:12.931212,1
2014-12-12T12:12:14.024709,1
2014-12-12T12:12:15.106516,2
2014-12-12T12:12:16.181654,1
2014-12-12T12:12:17.269427,1
2014-12-12T12:12:18.369910,1
2014-12-12T12:12:19.464200,1
2014-12-12T12:12:20.572648,1
2014-12-12T12:12:21.674321,1
2014-12-12T12:12:22.777585,1
2014-12-12T12:12:23.875298,1
2014-12-12T12:12:24.982771,1
2014-12-12T12:12:26.092359,1
2014-12-12T12:12:27.206199,1
2014-12-12T12:12:28.302615,1
2014-12-12T12:12:29.404226,1
2014-12-12T12:12:30.513979,1
2014-12-12T12:12:31.617554,1
2014-12-12T12:12:32.702151,1
2014-12-12T12:12:33.798151,1
2014-12-12T12:12:34.891642,8
2014-12-12T12:12:35.975178,1
2014-12-12T12:12:37.054115,1
2014-12-12T12:12:38.132651,1
2014-12-12T12:12:39.207411,1
2014-12-12T12:12:40.280168,1
2014-12-12T12:12:41.350116,1
2014-12-12T12:12:42.418348,1
2014-12-12T12:12:43.485420,2
2014-12-12T12:12:44.536777,0
2014-12-12T12:12:45.581370,0
2014-12-12T12:12:46.626517,0
2014-12-12T12:12:47.670644,0
2014-12-12T12:12:48.707326,0
2014-12-12T12:12:49.749218,0
2014-12-12T12:12:50.805849,0
2014-12-12T12:12:51.851475,0
2014-12-12T12:12:52.896981,0
2014-12-12T12:12:53.941210,0
2014-12-12T12:12:54.983178,0
2014-12-12T12:12:56.029256,0
2014-12-12T12:12:57.077137,0
2014-12-12T12:12:58.125175,0
2014-12-12T12:12:59.192723,2
2014-12-12T12:13:00.272229,0
2014-12-12T12:13:01.354842,0
2014-12-12T12:13:02.432287,4
2014-12-12T12:13:03.520807,4
2014-12-12T12:13:04.609475,6
2014-12-12T12:13:05.696977,4
2014-12-12T12:13:06.779945,4
2014-12-12T12:13:07.856701,4
2014-12-12T12:13:08.947221,4
2014-12-12T12:13:10.032442,6
2014-12-12T12:13:11.124555,4
2014-12-12T12:13:12.209867,4
2014-12-12T12:13:13.297098,4
2014-12-12T12:13:14.381677,6
2014-12-12T12:13:15.475849,4
2014-12-12T12:13:16.557609,4
2014-12-12T12:13:17.644166,4
2014-12-12T12:13:18.731405,6
2014-12-12T12:13:19.807820,6
2014-12-12T12:13:20.893910,4
2014-12-12T12:13:21.970364,4
2014-12-12T12:13:23.053005,4
2014-12-12T12:13:24.144094,6
2014-12-12T12:13:25.229139,0
2014-12-12T12:13:26.318818,4
2014-12-12T12:13:27.397502,4
2014-12-12T12:13:28.478344,6
2014-12-12T12:13:29.556652,6
2014-12-12T12:13:30.645487,4
2014-12-12T12:13:31.732651,4
2014-12-12T12:13:32.814786,4
2014-12-12T12:13:33.891492,6
2014-12-12T12:13:34.982060,6
2014-12-12T12:13:36.067989,4
2014-12-12T12:13:37.153935,4
2014-12-12T12:13:38.231097,6
2014-12-12T12:13:39.317041,6
2014-12-12T12:13:40.396216,4
2014-12-12T12:13:41.490248,4
2014-12-12T12:13:42.605927,4
2014-12-12T12:13:43.725305,6
2014-12-12T12:13:44.845935,6
2014-12-12T12:13:45.954565,4
2014-12-12T12:13:47.061964,4
2014-12-12T12:13:48.169659,4
2014-12-12T12:13:49.273241,6
2014-12-12T12:13:50.387421,4
2014-12-12T12:13:51.501345,4
2014-12-12T12:13:52.611193,4
2014-12-12T12:13:53.717599,6
2014-12-12T12:13:54.828498,6
2014-12-12T12:13:55.932479,4
2014-12-12T12:13:57.036379,4
2014-12-12T12:13:58.143450,4
2014-12-12T12:13:59.227297,4
2014-12-12T12:14:00.291603,4
2014-12-12T12:14:01.360646,4
2014-12-12T12:14:02.428183,4
2014-12-12T12:14:03.487940,0
2014-12-12T12:14:04.532315,0
2014-12-12T12:14:05.577608,0
2014-12-12T12:14:06.617250,0
2014-12-12T12:14:07.657601,0
2014-12-12T12:14:08.695513,0
2014-12-12T12:14:09.740687,0
2014-12-12T12:14:10.782828,0
2014-12-12T12:14:11.820107,0
2014-12-12T12:14:12.866152,0
2014-12-12T12:14:13.910379,0
2014-12-12T12:14:14.955410,0
2014-12-12T12:14:15.992601,0
2014-12-12T12:14:17.034139,0
2014-12-12T12:14:18.070348,0
2014-12-12T12:14:19.141566,0
2014-12-12T12:14:20.219257,0
2014-12-12T12:14:21.299856,0
2014-12-12T12:14:22.397691,7
2014-12-12T12:14:23.478196,5
2014-12-12T12:14:24.554968,5
2014-12-12T12:14:25.632353,0
2014-12-12T12:14:26.717327,0
2014-12-12T12:14:27.796070,0
2014-12-12T12:14:28.876825,5
2014-12-12T12:14:29.956142,5
2014-12-12T12:14:31.031699,0
2014-12-12T12:14:32.115976,0
2014-12-12T12:14:33.197659,5
2014-12-12T12:14:34.273438,5
2014-12-12T12:14:35.353806,0
2014-12-12T12:14:36.429482,0
2014-12-12T12:14:37.515269,5
2014-12-12T12:14:38.599191,5
2014-12-12T12:14:39.685982,5
2014-12-12T12:14:40.777387,0
2014-12-12T12:14:41.856721,0
2014-12-12T12:14:42.935998,5
2014-12-12T12:14:44.015310,5
2014-12-12T12:14:45.088461,0
2014-12-12T12:14:46.159197,2
2014-12-12T12:14:47.231131,0
2014-12-12T12:14:48.315316,0
2014-12-12T12:14:49.394857,5
2014-12-12T12:14:50.470250,0
2014-12-12T12:14:51.543996,0
2014-12-12T12:14:52.624983,0
2014-12-12T12:14:53.711540,5
2014-12-12T12:14:54.804610,5
2014-12-12T12:14:55.883319,0
2014-12-12T12:14:56.966673,0
2014-12-12T12:14:58.047144,5
2014-12-12T12:14:59.129511,5
2014-12-12T12:15:00.205016,0
2014-12-12T12:15:01.285825,0
2014-12-12T12:15:02.365684,5
2014-12-12T12:15:03.441750,5
2014-12-12T12:15:04.512818,5
2014-12-12T12:15:05.594909,0
2014-12-12T12:15:06.708879,0
2014-12-12T12:15:07.822966,5
2014-12-12T12:15:08.937602,5
2014-12-12T12:15:10.048424,5
2014-12-12T12:15:11.149887,0
2014-12-12T12:15:12.247160,0
2014-12-12T12:15:13.359707,5
2014-12-12T12:15:14.474753,5
2014-12-12T12:15:15.589210,0
